TITLE = "naca0012_16_01"
VARIABLES = "X" "Y" "phi" "U" "V" "Abs V" "P"
ZONE ZONETYPE=ORDERED, I=30, J=30, DATAPACKING=POINT
    -2.00000000	    -2.00000000	    -0.00000003	     1.00346274	     0.00000000	     1.00346274	    -0.50346874
    -1.99157394	    -2.00000000	     0.00845523	     1.00346374	     0.00000000	     1.00346374	    -0.50346974
    -1.97184660	    -2.00000000	     0.02825098	     1.00346700	     0.00000000	     1.00346700	    -0.50347301
    -1.94110478	    -2.00000000	     0.05909959	     1.00347551	     0.00000000	     1.00347551	    -0.50348155
    -1.89969922	    -2.00000000	     0.10064954	     1.00349505	     0.00000000	     1.00349505	    -0.50350116
    -1.84809949	    -2.00000000	     0.15243068	     1.00353338	     0.00000000	     1.00353338	    -0.50353962
    -1.78689036	    -2.00000000	     0.21385814	     1.00359909	     0.00000000	     1.00359909	    -0.50360557
    -1.71676540	    -2.00000000	     0.28423906	     1.00370108	     0.00000000	     1.00370108	    -0.50370793
    -1.63851918	    -2.00000000	     0.36278053	     1.00384803	     0.00000000	     1.00384803	    -0.50385543
    -1.55303826	    -2.00000000	     0.44859868	     1.00404742	     0.00000000	     1.00404742	    -0.50405561
    -1.46129119	    -2.00000000	     0.54072849	     1.00430428	     0.00000000	     1.00430428	    -0.50431354
    -1.36431750	    -2.00000000	     0.63813438	     1.00462035	     0.00000000	     1.00462035	    -0.50463102
    -1.26321594	    -2.00000000	     0.73972135	     1.00499360	     0.00000000	     1.00499360	    -0.50500607
    -1.15913204	    -2.00000000	     0.84434653	     1.00541748	     0.00000000	     1.00541748	    -0.50543216
    -1.05324511	    -2.00000000	     0.95083123	     1.00588035	     0.00000000	     1.00588035	    -0.50589763
    -0.94675489	    -2.00000000	     1.05797329	     1.00636547	     0.00000000	     1.00636547	    -0.50638573
    -0.84086796	    -2.00000000	     1.16456004	     1.00685217	     0.00000000	     1.00685217	    -0.50687565
    -0.73678406	    -2.00000000	     1.26938158	     1.00731796	     0.00000000	     1.00731796	    -0.50734474
    -0.63568250	    -2.00000000	     1.37124474	     1.00774145	     0.00000000	     1.00774145	    -0.50777142
    -0.53870881	    -2.00000000	     1.46898720	     1.00810526	     0.00000000	     1.00810526	    -0.50813811
    -0.44696174	    -2.00000000	     1.56149179	     1.00839824	     0.00000000	     1.00839824	    -0.50843350
    -0.36148082	    -2.00000000	     1.64770034	     1.00861658	     0.00000000	     1.00861658	    -0.50865370
    -0.28323460	    -2.00000000	     1.72662689	     1.00876366	     0.00000000	     1.00876366	    -0.50880206
    -0.21310964	    -2.00000000	     1.79736965	     1.00884876	     0.00000000	     1.00884876	    -0.50888791
    -0.15190051	    -2.00000000	     1.85912171	     1.00888504	     0.00000000	     1.00888504	    -0.50892451
    -0.10030078	    -2.00000000	     1.91118008	     1.00888734	     0.00000000	     1.00888734	    -0.50892683
    -0.05889522	    -2.00000000	     1.95295333	     1.00887031	     0.00000000	     1.00887031	    -0.50890965
    -0.02815340	    -2.00000000	     1.98396751	     1.00884679	     0.00000000	     1.00884679	    -0.50888592
    -0.00842606	    -2.00000000	     2.00386918	     1.00882685	     0.00000000	     1.00882685	    -0.50886580
     0.00000000	    -2.00000000	     2.01236957	     1.00881718	     0.00000000	     1.00881718	    -0.50885605
    -1.99410176	    -1.99241655	     0.00591869	     1.00346620	    -0.00000087	     1.00346620	    -0.50347221
    -1.98570055	    -1.99241655	     0.01434903	     1.00346722	    -0.00000109	     1.00346722	    -0.50347323
    -1.96603139	    -1.99241655	     0.03408643	     1.00347074	    -0.00000172	     1.00347074	    -0.50347677
    -1.93538023	    -1.99241655	     0.06484411	     1.00348000	    -0.00000292	     1.00348000	    -0.50348606
